"x","msg_reg","cost_agg"
0,"AFR",503.834317814128
0.01,"AFR",503.834317814128
0.02,"AFR",506.700445371558
0.03,"AFR",506.700445371558
0.04,"AFR",539.66135523411
0.05,"AFR",541.129611476761
0.06,"AFR",573.666365365611
0.07,"AFR",584.408503596678
0.08,"AFR",628.196163026138
0.09,"AFR",642.466264575346
0.1,"AFR",651.023017054924
0.11,"AFR",670.321263411009
0.12,"AFR",680.858847490405
0.13,"AFR",689.840513926854
0.14,"AFR",708.394124694341
0.15,"AFR",723.383630911988
0.16,"AFR",736.135642723598
0.17,"AFR",750.945284429864
0.18,"AFR",772.149302938948
0.19,"AFR",785.112366061038
0.2,"AFR",795.337190839165
0.21,"AFR",808.134307838943
0.22,"AFR",830.261678643869
0.23,"AFR",845.197086207235
0.24,"AFR",870.77805872335
0.25,"AFR",881.447693392508
0.26,"AFR",897.25598082551
0.27,"AFR",921.953221286919
0.28,"AFR",940.679620336172
0.29,"AFR",986.525185044689
0.3,"AFR",1014.80835167268
0.31,"AFR",1079.69786881908
0.32,"AFR",1086.46609125476
0.33,"AFR",1122.15000923843
0.34,"AFR",1178.24504535895
0.35,"AFR",1200.55875226462
0.36,"AFR",1245.55217098685
0.37,"AFR",1288.858696366
0.38,"AFR",1330.97710778553
0.39,"AFR",1351.19341042421
0.4,"AFR",1378.13160350439
0.41,"AFR",1408.07659140882
0.42,"AFR",1442.0909376619
0.43,"AFR",1523.44024532121
0.44,"AFR",1545.90529382523
0.45,"AFR",1578.9147920039
0.46,"AFR",1637.26397325111
0.47,"AFR",1711.57547909594
0.48,"AFR",1776.30515286467
0.49,"AFR",1834.6132773367
0.5,"AFR",1898.31145725894
0.51,"AFR",1931.40052360901
0.52,"AFR",1984.91013849195
0.53,"AFR",2040.82620203979
0.54,"AFR",2090.6774291701
0.55,"AFR",2120.48589159371
0.56,"AFR",2186.19344277463
0.57,"AFR",2241.72033522818
0.58,"AFR",2348.35158486894
0.59,"AFR",2461.84866685879
0.6,"AFR",2544.81668046468
0.61,"AFR",2611.19179432234
0.62,"AFR",2752.77348366233
0.63,"AFR",2819.34253981138
0.64,"AFR",2872.30555829515
0.65,"AFR",2935.94212613059
0.66,"AFR",2992.4783380595
0.67,"AFR",3158.41223258585
0.68,"AFR",3219.76321786768
0.69,"AFR",3388.27460645534
0.7,"AFR",3522.1829476838
0.71,"AFR",3648.3951483467
0.72,"AFR",3822.38717628369
0.73,"AFR",4027.09473313878
0.74,"AFR",4192.25597441347
0.75,"AFR",4379.81364568877
0.76,"AFR",4494.51980040659
0.77,"AFR",4874.68451168631
0.78,"AFR",5200.22791721811
0.79,"AFR",5372.00981538766
0.8,"AFR",5500.9660132158
0.81,"AFR",5760.07871876564
0.82,"AFR",5962.77968855687
0.83,"AFR",6317.88628181534
0.84,"AFR",6541.42991186196
0.85,"AFR",6809.53375154207
0.86,"AFR",7403.91422049989
0.87,"AFR",7805.78123470923
0.88,"AFR",8428.58399810316
0.89,"AFR",8966.96842339961
0.9,"AFR",9631.3791936065
0.91,"AFR",10381.7490345448
0.92,"AFR",10878.7009603933
0.93,"AFR",11322.1342005806
0.94,"AFR",12347.1435373896
0.95,"AFR",13830.018021602
0.96,"AFR",15478.1936744566
0.97,"AFR",16904.8481124855
0.98,"AFR",19232.7256916196
0.99,"AFR",23472.1829336496
1,"AFR",23987.7237311148
0,"CPA",455.717223508955
0.01,"CPA",455.717223508955
0.02,"CPA",462.771546354084
0.03,"CPA",462.771546354084
0.04,"CPA",462.771546354084
0.05,"CPA",469.216721544062
0.06,"CPA",571.691077079848
0.07,"CPA",571.691077079848
0.08,"CPA",571.691077079848
0.09,"CPA",582.773634418714
0.1,"CPA",582.773634418714
0.11,"CPA",586.900118534249
0.12,"CPA",605.714921108653
0.13,"CPA",624.421649099078
0.14,"CPA",644.287722626725
0.15,"CPA",645.545317785745
0.16,"CPA",691.368941392544
0.17,"CPA",708.179451682259
0.18,"CPA",725.392785421348
0.19,"CPA",725.392785421348
0.2,"CPA",726.620905693829
0.21,"CPA",744.001263789975
0.22,"CPA",745.091834591938
0.23,"CPA",774.714401415604
0.24,"CPA",786.376744314731
0.25,"CPA",809.209956420691
0.26,"CPA",819.310017541572
0.27,"CPA",885.068489411276
0.28,"CPA",961.801444035868
0.29,"CPA",975.124092751738
0.3,"CPA",986.354024523302
0.31,"CPA",1067.42961243138
0.32,"CPA",1069.49285448915
0.33,"CPA",1080.10720559211
0.34,"CPA",1113.15943227852
0.35,"CPA",1140.37457751669
0.36,"CPA",1180.46042321046
0.37,"CPA",1201.68234151893
0.38,"CPA",1233.68877411191
0.39,"CPA",1320.73793902534
0.4,"CPA",1324.47142465368
0.41,"CPA",1395.99714932295
0.42,"CPA",1439.48199548087
0.43,"CPA",1497.94052045095
0.44,"CPA",1504.01597806523
0.45,"CPA",1504.01597806523
0.46,"CPA",1504.01597806523
0.47,"CPA",1504.01597806523
0.48,"CPA",1506.84357434533
0.49,"CPA",1506.84357434533
0.5,"CPA",1506.84357434533
0.51,"CPA",1511.55157457933
0.52,"CPA",1511.55157457933
0.53,"CPA",1513.14637283443
0.54,"CPA",1513.14637283443
0.55,"CPA",1523.35876056377
0.56,"CPA",1524.68090261072
0.57,"CPA",1564.78801368279
0.58,"CPA",1824.88308082457
0.59,"CPA",1826.93674557825
0.6,"CPA",1838.8843394028
0.61,"CPA",1839.55049635632
0.62,"CPA",1851.13221656144
0.63,"CPA",1851.59656748833
0.64,"CPA",1862.31551986518
0.65,"CPA",1868.49700657161
0.66,"CPA",1871.63643907403
0.67,"CPA",1873.39608469171
0.68,"CPA",1874.13280331349
0.69,"CPA",1875.38366250888
0.7,"CPA",1960.96645395927
0.71,"CPA",1967.07947802589
0.72,"CPA",2041.62102606028
0.73,"CPA",2089.67241532388
0.74,"CPA",2159.50710449589
0.75,"CPA",2445.63135305568
0.76,"CPA",2554.82653774571
0.77,"CPA",2928.80450195732
0.78,"CPA",3276.76229181071
0.79,"CPA",3353.78321743282
0.8,"CPA",3457.73182816923
0.81,"CPA",3504.06972094473
0.82,"CPA",3907.47674990386
0.83,"CPA",4242.77744745136
0.84,"CPA",4463.51503231512
0.85,"CPA",5505.73915218416
0.86,"CPA",5985.77524341001
0.87,"CPA",6150.42760052687
0.88,"CPA",6594.13198675029
0.89,"CPA",6637.03138901236
0.9,"CPA",6913.9327994914
0.91,"CPA",8564.64884093965
0.92,"CPA",9584.76523525863
0.93,"CPA",9596.19834988863
0.94,"CPA",11809.7389814725
0.95,"CPA",12141.8936143685
0.96,"CPA",13959.1854167859
0.97,"CPA",14276.3145276434
0.98,"CPA",15476.6548473421
0.99,"CPA",20547.9060592715
1,"CPA",20556.7598317292
0,"EEU",1370.79498524299
0.01,"EEU",1370.79498524299
0.02,"EEU",1371.19618080978
0.03,"EEU",1470.48225148961
0.04,"EEU",1483.49908913167
0.05,"EEU",1483.49908913167
0.06,"EEU",1546.53862063805
0.07,"EEU",1587.87480856321
0.08,"EEU",1621.91889389022
0.09,"EEU",1710.8342933257
0.1,"EEU",1791.57090952821
0.11,"EEU",1888.28809433148
0.12,"EEU",1944.28467211429
0.13,"EEU",1984.64388695512
0.14,"EEU",2089.3023795664
0.15,"EEU",2144.31353428543
0.16,"EEU",2376.24381621818
0.17,"EEU",2534.0906845664
0.18,"EEU",2550.24019106476
0.19,"EEU",2668.92388399142
0.2,"EEU",2783.80937414484
0.21,"EEU",2872.03028326663
0.22,"EEU",3052.40770630374
0.23,"EEU",3226.90600050979
0.24,"EEU",3494.18465318997
0.25,"EEU",3670.29624289739
0.26,"EEU",3705.68388423319
0.27,"EEU",3836.65608194897
0.28,"EEU",3970.97169124014
0.29,"EEU",4568.28649791509
0.3,"EEU",4605.64853047868
0.31,"EEU",5013.62689068642
0.32,"EEU",5163.08985623145
0.33,"EEU",5338.51206112722
0.34,"EEU",5674.85996037147
0.35,"EEU",5717.32595714225
0.36,"EEU",5737.10661448723
0.37,"EEU",5747.94894914798
0.38,"EEU",5759.10863192804
0.39,"EEU",5831.71648497861
0.4,"EEU",5863.2401088857
0.41,"EEU",5901.25628334291
0.42,"EEU",6038.89307397012
0.43,"EEU",6080.82940259801
0.44,"EEU",6107.5377171477
0.45,"EEU",6138.52667601628
0.46,"EEU",6170.0902291114
0.47,"EEU",6278.38985131279
0.48,"EEU",6327.32352447104
0.49,"EEU",6406.51852069764
0.5,"EEU",6455.94030271408
0.51,"EEU",6500.33781658375
0.52,"EEU",6539.9376783195
0.53,"EEU",6664.89816275706
0.54,"EEU",6701.38826608843
0.55,"EEU",6761.66688821459
0.56,"EEU",6809.80013788909
0.57,"EEU",6886.60974569091
0.58,"EEU",7035.51393215465
0.59,"EEU",7235.92005075386
0.6,"EEU",7335.9714402845
0.61,"EEU",7486.1048447716
0.62,"EEU",7591.33751581629
0.63,"EEU",7640.55745738016
0.64,"EEU",7725.79425280098
0.65,"EEU",7937.65789816257
0.66,"EEU",8176.82964507106
0.67,"EEU",8327.92017230301
0.68,"EEU",8472.58710782839
0.69,"EEU",8570.01312009711
0.7,"EEU",8769.46229402348
0.71,"EEU",8985.26482021167
0.72,"EEU",9081.23943578018
0.73,"EEU",9196.52924380463
0.74,"EEU",9307.52084916005
0.75,"EEU",9473.1926408158
0.76,"EEU",9734.28119579188
0.77,"EEU",9882.05096039878
0.78,"EEU",10211.4172374704
0.79,"EEU",10288.2606989618
0.8,"EEU",10593.3162574699
0.81,"EEU",10949.0063809136
0.82,"EEU",11674.7130846036
0.83,"EEU",11975.3269774298
0.84,"EEU",12310.3810121968
0.85,"EEU",12515.2823554275
0.86,"EEU",12930.5450606172
0.87,"EEU",13572.556228675
0.88,"EEU",13780.2274507254
0.89,"EEU",14616.7601696853
0.9,"EEU",15007.4645384727
0.91,"EEU",15514.1589180125
0.92,"EEU",16500.256358665
0.93,"EEU",17114.53867491
0.94,"EEU",17932.9093431323
0.95,"EEU",18693.4730860959
0.96,"EEU",20603.5760564845
0.97,"EEU",22683.5997810781
0.98,"EEU",25573.2537323947
0.99,"EEU",29872.5052764045
1,"EEU",29915.8998201148
0,"FSU",797.76004547832
0.01,"FSU",797.76004547832
0.02,"FSU",800.259433341652
0.03,"FSU",875.37177694336
0.04,"FSU",926.088283431823
0.05,"FSU",1034.44442909883
0.06,"FSU",1062.0659661591
0.07,"FSU",1062.69674888844
0.08,"FSU",1136.54826688515
0.09,"FSU",1206.03316897939
0.1,"FSU",1212.15554141481
0.11,"FSU",1270.16943885792
0.12,"FSU",1290.66055231476
0.13,"FSU",1347.52626746459
0.14,"FSU",1371.86624381689
0.15,"FSU",1401.62781438652
0.16,"FSU",1438.09062659249
0.17,"FSU",1458.03988583456
0.18,"FSU",1483.91790983867
0.19,"FSU",1532.67001811284
0.2,"FSU",1570.3451008158
0.21,"FSU",1689.31770052489
0.22,"FSU",1715.79448818948
0.23,"FSU",1768.74149188646
0.24,"FSU",1829.69200177876
0.25,"FSU",1891.996650765
0.26,"FSU",1907.19258043323
0.27,"FSU",1936.90358659119
0.28,"FSU",1984.57437722501
0.29,"FSU",2014.48350622105
0.3,"FSU",2043.02213577261
0.31,"FSU",2202.65709759368
0.32,"FSU",2238.70682472161
0.33,"FSU",2250.14156942306
0.34,"FSU",2423.66379058814
0.35,"FSU",2470.45124359851
0.36,"FSU",2499.245523718
0.37,"FSU",2568.59538175104
0.38,"FSU",2792.30795836999
0.39,"FSU",2838.24995767904
0.4,"FSU",2870.49987949553
0.41,"FSU",2877.51593047168
0.42,"FSU",2899.74764316124
0.43,"FSU",2903.39344452273
0.44,"FSU",2936.96645769838
0.45,"FSU",3016.01600379084
0.46,"FSU",3121.96955903357
0.47,"FSU",3163.0863908941
0.48,"FSU",3186.24238588407
0.49,"FSU",3196.85646086003
0.5,"FSU",3246.85532000626
0.51,"FSU",3250.47375924826
0.52,"FSU",3364.24761972942
0.53,"FSU",3383.19778908116
0.54,"FSU",3414.76027437819
0.55,"FSU",3521.87503954924
0.56,"FSU",3816.20805433466
0.57,"FSU",3890.0938619494
0.58,"FSU",3967.90652403945
0.59,"FSU",4072.04597368331
0.6,"FSU",4172.31440960496
0.61,"FSU",4283.19347824797
0.62,"FSU",4416.50351941235
0.63,"FSU",4519.53336346064
0.64,"FSU",4557.03501610455
0.65,"FSU",4640.26912615963
0.66,"FSU",4684.41582462104
0.67,"FSU",4854.21987598148
0.68,"FSU",4951.14499923264
0.69,"FSU",5097.16631825831
0.7,"FSU",5174.28623607109
0.71,"FSU",5220.29484894517
0.72,"FSU",5342.02723138595
0.73,"FSU",5389.73684993405
0.74,"FSU",5409.47918400077
0.75,"FSU",5533.09087569319
0.76,"FSU",6119.87856687465
0.77,"FSU",6221.78223878684
0.78,"FSU",6494.04124032678
0.79,"FSU",6941.86216016801
0.8,"FSU",7272.41704170328
0.81,"FSU",7691.32680181447
0.82,"FSU",7848.72540368246
0.83,"FSU",8043.77466397532
0.84,"FSU",8246.83935156331
0.85,"FSU",8522.06627516893
0.86,"FSU",9031.74084134248
0.87,"FSU",9276.58106448662
0.88,"FSU",9632.28846022842
0.89,"FSU",11067.2236016911
0.9,"FSU",11494.732150553
0.91,"FSU",12016.3425923815
0.92,"FSU",12561.9171414208
0.93,"FSU",13858.3761901675
0.94,"FSU",14338.0693990067
0.95,"FSU",16703.0459939914
0.96,"FSU",17773.4507884222
0.97,"FSU",18399.4358382341
0.98,"FSU",21816.7228515225
0.99,"FSU",23743.508454577
1,"FSU",23808.9497551132
0,"LAM",481.481080182677
0.01,"LAM",481.481080182677
0.02,"LAM",481.481080182677
0.03,"LAM",487.724688236473
0.04,"LAM",493.252871897458
0.05,"LAM",493.252871897458
0.06,"LAM",512.945901111294
0.07,"LAM",527.361423881918
0.08,"LAM",530.40508869107
0.09,"LAM",538.882627123384
0.1,"LAM",556.070406000666
0.11,"LAM",573.951846329697
0.12,"LAM",586.553581638974
0.13,"LAM",603.434208666565
0.14,"LAM",608.640906599585
0.15,"LAM",632.035856727581
0.16,"LAM",651.15982543432
0.17,"LAM",669.608232706041
0.18,"LAM",687.362485101684
0.19,"LAM",730.843186189801
0.2,"LAM",743.050566381702
0.21,"LAM",754.932195738999
0.22,"LAM",773.135184383743
0.23,"LAM",788.806872190557
0.24,"LAM",807.087224384522
0.25,"LAM",822.361679557358
0.26,"LAM",837.763930229209
0.27,"LAM",889.687487206823
0.28,"LAM",915.273670573036
0.29,"LAM",935.344551752654
0.3,"LAM",952.964353324303
0.31,"LAM",965.304369858492
0.32,"LAM",981.835084869546
0.33,"LAM",1008.82145705233
0.34,"LAM",1029.12485746869
0.35,"LAM",1056.37085293572
0.36,"LAM",1088.93904889177
0.37,"LAM",1115.8285957328
0.38,"LAM",1139.27390038929
0.39,"LAM",1158.85992619663
0.4,"LAM",1176.82293148073
0.41,"LAM",1202.17695521469
0.42,"LAM",1209.81301410765
0.43,"LAM",1256.98469797009
0.44,"LAM",1291.55186209629
0.45,"LAM",1314.09684287863
0.46,"LAM",1337.38447245428
0.47,"LAM",1355.07463855055
0.48,"LAM",1395.7832719802
0.49,"LAM",1458.79183322193
0.5,"LAM",1513.81342792631
0.51,"LAM",1554.78892253639
0.52,"LAM",1628.17535842661
0.53,"LAM",1666.6952063148
0.54,"LAM",1689.83260527745
0.55,"LAM",1729.50586511122
0.56,"LAM",1751.74406179505
0.57,"LAM",1792.5061758977
0.58,"LAM",1829.43728012384
0.59,"LAM",1875.16832964393
0.6,"LAM",1891.92516797626
0.61,"LAM",1978.83922857972
0.62,"LAM",2020.60323396463
0.63,"LAM",2097.13656869242
0.64,"LAM",2241.1770410513
0.65,"LAM",2382.06514683515
0.66,"LAM",2467.87705896726
0.67,"LAM",2529.96143733785
0.68,"LAM",2620.49899418387
0.69,"LAM",2762.76782024282
0.7,"LAM",2850.45093128625
0.71,"LAM",2983.1568923925
0.72,"LAM",3224.68957705
0.73,"LAM",3349.2475864072
0.74,"LAM",3484.8308490276
0.75,"LAM",3592.47364691384
0.76,"LAM",3871.08514028962
0.77,"LAM",4077.99666632479
0.78,"LAM",4182.10017683842
0.79,"LAM",4562.07013827109
0.8,"LAM",4947.34508203076
0.81,"LAM",5168.69160710839
0.82,"LAM",5763.50245140343
0.83,"LAM",6005.52806563781
0.84,"LAM",6398.29910420517
0.85,"LAM",6595.08585474993
0.86,"LAM",6934.68867875744
0.87,"LAM",7371.08862876986
0.88,"LAM",7806.69231143673
0.89,"LAM",8344.22462996234
0.9,"LAM",8953.15769569253
0.91,"LAM",9314.70686794031
0.92,"LAM",10187.8165002987
0.93,"LAM",10884.1762846525
0.94,"LAM",12365.3803252476
0.95,"LAM",14361.8440885471
0.96,"LAM",15385.2212222725
0.97,"LAM",17235.9522993385
0.98,"LAM",19588.8449394976
0.99,"LAM",21800.4240436502
1,"LAM",22750.3740569853
0,"MEA",601.922460118597
0.01,"MEA",601.922460118597
0.02,"MEA",601.922460118597
0.03,"MEA",601.922460118597
0.04,"MEA",696.144648198103
0.05,"MEA",868.791585698973
0.06,"MEA",868.791585698973
0.07,"MEA",905.046134384286
0.08,"MEA",918.444536443517
0.09,"MEA",956.027709002497
0.1,"MEA",990.806584081657
0.11,"MEA",1122.75189533993
0.12,"MEA",1208.23030770587
0.13,"MEA",1226.65487081584
0.14,"MEA",1227.31551252097
0.15,"MEA",1325.96266175126
0.16,"MEA",1413.46098536514
0.17,"MEA",1483.48779669828
0.18,"MEA",1518.32813679607
0.19,"MEA",1640.88069982827
0.2,"MEA",1700.41185792462
0.21,"MEA",1722.28643882809
0.22,"MEA",1751.16413616442
0.23,"MEA",1893.21805047343
0.24,"MEA",1904.62473772277
0.25,"MEA",1997.25772823687
0.26,"MEA",2086.45222625052
0.27,"MEA",2324.01543265693
0.28,"MEA",2327.78488134706
0.29,"MEA",2378.13324446465
0.3,"MEA",2454.28072779908
